,Rank,Name,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Year
1121,1120,Star Wars Rogue Leader: Rogue Squadron II,Nintendo GameCube,LucasArts,Factor 5,9.2,,1.9,2001
1125,1124,Monster Hunter Tri,Nintendo Wii,Capcom,Capcom Production Studio 1,8.1,10.0,1.9,2010
1129,1128,Monopoly,Nintendo Wii,Electronic Arts,EA Bright Light,7.0,,1.89,2008
1130,1129,Minecraft,Nintendo Switch,Mojang,4J Studios,9.2,,1.89,2018
1133,1132,Toy Story Mania!,Nintendo Wii,Disney,Papaya Studios,,,1.89,2009
1134,1133,Game Party 2,Nintendo Wii,Midway Games,FarSight Studios,3.0,,1.88,2008
1145,1144,Star Wars: The Force Unleashed,Nintendo Wii,LucasArts,Krome Studios,6.8,7.4,1.86,2008
1152,1151,Turok 2: Seeds of Evil,Nintendo 64,Acclaim Entertainment,Iguana Entertainment,9.0,,1.86,1998
1159,1158,Kirby's Epic Yarn,Nintendo Wii,Nintendo,Good-Feel,8.7,,1.85,2010
1160,1159,Pinball,NES,Nintendo,Nintendo,,,1.85,1985
1165,1164,Rayman Raving Rabbids 2,Nintendo Wii,Ubisoft,Ubisoft Paris,6.6,,1.84,2007
1169,1168,"Hey You, Pikachu!",Nintendo 64,Nintendo,Ambrella,6.0,,1.83,2000
1176,1175,Star Fox Adventures,Nintendo GameCube,Nintendo,Rare Ltd.,8.1,,1.82,2002
1196,1195,Secret of Mana,SNES,Square,SquareSoft,9.1,,1.8,1993
1197,1196,Sonic Colors,Nintendo Wii,Sega,Sonic Team,7.7,,1.8,2010
1199,1198,Kirby's Return to Dreamland,Nintendo Wii,Nintendo,HAL Laboratory,7.6,,1.79,2011
1200,1199,New Play Control! Mario Power Tennis,Nintendo Wii,Nintendo,Camelot Software Planning,6.6,,1.79,2009
1202,1201,The Lion King,SNES,Virgin Interactive,Westwood Studios,,,1.79,1994
1203,1202,LEGO Star Wars III: The Clone Wars,Nintendo Wii,LucasArts,Traveller's Tales,7.5,,1.79,2011
1207,1206,Wii Party U,Nintendo Wii U,Nintendo,"Nd Cube Co., Ltd.",6.6,6.9,1.78,2013
1213,1212,Kirby 64: The Crystal Shards,Nintendo 64,Nintendo,HAL Laboratory,7.9,,1.77,2000
1216,1215,High School Musical: Sing It!,Nintendo Wii,Disney,Artificial Mind and Movement,6.4,,1.76,2007
1220,1219,Kid Icarus,NES,Nintendo,Nintendo R&D1,7.0,,1.76,1987
1235,1234,Disney's Aladdin,SNES,Capcom,Capcom/Disney,,,1.75,1993
1236,1235,Kirby's Adventure,NES,Nintendo,HAL Laboratory,9.5,,1.75,1993
1237,1236,Yoshi,NES,Nintendo,Game Freak,,,1.75,1992
1255,1254,Xenoblade Chronicles 2,Nintendo Switch,Nintendo,Monolith Soft,8.2,8.7,1.73,2017
1260,1259,Cruis'n USA,Nintendo 64,Nintendo,Midway Games,4.0,,1.72,1996
1264,1263,Game Party 3,Nintendo Wii,Warner Bros. Interactive,FarSight Studios,2.5,,1.72,2009
1268,1267,The Beatles: Rock Band,Nintendo Wii,MTV Games,Harmonix Music Systems,9.0,,1.71,2009
1285,1284,Final Fantasy II,SNES,Square,Square,10.0,,1.7,1991
1290,1289,Super Puyo Puyo,SNES,Banpresto,Compile,,,1.7,1993
1296,1295,Cabela's Big Game Hunter 2010,Nintendo Wii,Activision,Cauldron,5.5,,1.7,2009
1303,1302,WCW vs. nWo: World Tour,Nintendo 64,THQ,Aki Corp.,,,1.69,1997
1319,1318,We Ski,Nintendo Wii,Namco Bandai,Bandai Namco Games,7.1,,1.68,2008
1325,1324,Disney's DuckTales,NES,Capcom,Capcom,,,1.67,1989
1327,1326,The Legend of Zelda: Breath of the Wild,Nintendo Wii U,Nintendo,Nintendo EPD,10.0,10.0,1.67,2017
1335,1334,Big Beach Sports,Nintendo Wii,THQ,HB Studios Multimedia,4.9,,1.66,2008
1336,1335,Disney Infinity,Nintendo Wii,Disney,Unknown,,,1.66,2013
1337,1336,Shaun White Snowboarding: Road Trip,Nintendo Wii,Ubisoft,Ubisoft Montreal,7.8,,1.66,2008
1343,1342,Star Wars The Clone Wars: Lightsaber Duels,Nintendo Wii,LucasArts,Krome Studios,,,1.65,2008
1347,1346,Super Scope 6,SNES,Nintendo,Nintendo R&D1,,,1.65,1992
1348,1347,MySims,Nintendo Wii,Electronic Arts,EA Redwood Shores,7.1,,1.65,2007
1355,1354,Ghosts 'n Goblins,NES,Capcom,Micronics,,,1.64,1986
1356,1355,Sonic Mega Collection,Nintendo GameCube,Sega,Sonic Team,7.5,,1.64,2002
1358,1357,Wii Play: Motion,Nintendo Wii,Nintendo,Nintendo EAD,5.2,,1.64,2011
1363,1362,Mario Party 6,Nintendo GameCube,Nintendo,Hudson Soft,7.2,,1.63,2004
1390,1389,F-1 World Grand Prix,Nintendo 64,Video System,Paradigm Entertainment,8.3,,1.6,1998
1395,1394,Pikmin,Nintendo GameCube,Nintendo,Nintendo EAD,8.1,,1.6,2001
1396,1395,Resident Evil 4,Nintendo GameCube,Capcom,Capcom Production Studio 4,9.6,,1.6,2005
1397,1396,Sonic Adventure DX: Director's Cut,Nintendo GameCube,Sega,Sonic Team,5.4,,1.6,2003
1398,1397,Sonic Unleashed,Nintendo Wii,Sega,Sonic Team/Dimps Corporation,6.7,8.2,1.6,2008
1399,1398,Super Mario Strikers,Nintendo GameCube,Nintendo,Next Level Games,8.0,,1.6,2005
1414,1413,Dance Dance Revolution: Hottest Party 2,Nintendo Wii,Konami,Bemani,,,1.58,2008
1420,1419,LEGO Pirates of the Caribbean: The Video Game,Nintendo Wii,Disney,Traveller's Tales,7.5,,1.57,2011
1428,1427,Carnival Games: Mini Golf,Nintendo Wii,2K Play,Cat Daddy Games,,,1.56,2008
1433,1432,Donkey Kong Classics,NES,Nintendo,Nintendo,,,1.56,1988
1435,1434,Yoshi's Woolly World,Nintendo Wii U,Nintendo,Good-Feel,7.4,6.0,1.56,2015
1446,1445,Guitar Hero 5,Nintendo Wii,Activision,Vicarious Visions,8.9,,1.55,2009
1447,1446,007: The World is Not Enough,Nintendo 64,Electronic Arts,Eurocom Entertainment Software,7.4,,1.55,2000
1452,1451,Go Vacation,Nintendo Wii,Namco Bandai,Namco Bandai Games,7.0,,1.54,2011
1454,1453,Active Life: Outdoor Challenge,Nintendo Wii,Namco Bandai,High Horse Entertainment,,,1.54,2008
1460,1459,Mortal Kombat 3,SNES,Williams Entertainment,Sculptured Software,,,1.53,1995
1463,1462,Tecmo Bowl,NES,Tecmo,Tecmo,,,1.53,1989
1476,1475,F1 Race,NES,Nintendo,Nintendo,9.5,7.4,1.52,1984
1479,1478,Xevious,NES,Namco,Namco,,,1.52,1990
1483,1482,Super Monkey Ball 2,Nintendo GameCube,Sega,Amusement Vision,9.0,,1.52,2002
1486,1485,MySims Kingdom,Nintendo Wii,Electronic Arts,EA Redwood Shores,7.3,,1.52,2008
1490,1489,Call of Duty: Modern Warfare: Reflex Edition,Nintendo Wii,Activision,Treyarch,7.2,8.9,1.51,2009
1494,1493,Mega Man 2,NES,Capcom,Capcom,,,1.51,1989
1497,1496,Turok: Dinosaur Hunter,Nintendo 64,Acclaim Entertainment,Iguana Entertainment,8.9,,1.51,1997
1502,1501,SoulCalibur II,Nintendo GameCube,Namco,Namco,9.2,,1.5,2003
1515,1514,Ice Climber,NES,Nintendo,Nintendo R&D1,6.5,,1.5,1985
1516,1515,Ninja Hattori Kun: Ninja wa Shuugyou Degogiru no Maki,NES,Hudson Soft,Hudson Soft,,,1.5,1986
1517,1516,Octopath Traveler,Nintendo Switch,Nintendo,Square Enix,8.1,8.7,1.5,2018
1523,1522,WWF No Mercy,Nintendo 64,THQ,Aki Corp.,9.1,,1.5,2000
1535,1534,Banjo-Tooie,Nintendo 64,Nintendo,Rare Ltd.,9.3,,1.49,2000
1545,1544,Final Fight,SNES,Capcom,Capcom,10.0,,1.48,1991
1546,1545,Nintendo World Cup,NES,Nintendo,Technos Japan Corporation,,,1.48,1990
1551,1550,WWF WrestleMania 2000,Nintendo 64,THQ,Aki Corporation,,,1.48,1999
1553,1552,Disney Sing It: Pop Hits,Nintendo Wii,Disney,Zoe Mode,6.8,,1.48,2009
1563,1562,Mario Golf,Nintendo 64,Nintendo,Camelot Software Planning,9.0,,1.47,1999
1564,1563,Minecraft,Nintendo Wii U,Mojang,4J Studios,5.5,,1.47,2016
