,Rank,Name,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Year
10655,10654,MLB 11: The Show,Sony PlayStation 2,Sony Computer Entertainment,SCEA San Diego Studios,,,0.13,2011
10810,10809,Ape Escape 3,Sony PlayStation 2,Sony Computer Entertainment,SCE Japan Studio,7.8,,0.13,2006
10855,10854,Namco Soccer Prime Goal,Sony PlayStation,Sony Computer Entertainment,Namco,,,0.13,1996
10859,10858,NBA 08,Sony PlayStation 2,Sony Computer Entertainment,SCE San Diego Studio,,,0.13,2007
10953,10952,Everybody Dance,Sony PlayStation 3,Sony Computer Entertainment,SCEE London Studio,6.5,,0.13,2011
10991,10990,The Inpatient,Sony Playstation 4,Sony Interactive Entertainment,Supermassive Games Ltd.,5.9,6.1,0.13,2018
11037,11036,SingStar Vol. 3,Sony PlayStation 3,Sony Computer Entertainment,SCEE London Studio,,,0.12,2008
11142,11141,Job Simulator,Sony Playstation 4,Sony Interactive Entertainment,Owlchemy Labs,7.1,7.0,0.12,2017
11158,11157,Saru! Get You! Million Monkeys,Sony PlayStation 2,Sony Computer Entertainment,SCEI,,,0.12,2016
11187,11186,The God of War Trilogy,Sony PlayStation 3,Sony Computer Entertainment,SCEA Santa Monica Studio,,,0.12,2010
11300,11299,ESA Game Pack,Sony PlayStation 3,Sony Computer Entertainment,Various,,,0.12,2010
11369,11368,After Hours Athletes,Sony PlayStation 3,Sony Computer Entertainment,Sony Computer Entertainment,,,0.12,2011
11423,11422,Stolen Song,Sony PlayStation,Sony Computer Entertainment,Unknown,,,0.12,1998
11432,11431,Sengoku Cyber: Fujimaru Jigokuhen,Sony PlayStation,Sony Computer Entertainment,Sony Computer Entertainment,,,0.12,1995
11449,11448,SingStar Latino,Sony PlayStation 3,Sony Computer Entertainment,SCEE London Studio,,,0.12,2009
11854,11853,Victory Zone,Sony PlayStation,Sony Computer Entertainment,Sony Computer Entertainment Japan,,,0.11,1995
11898,11897,Jampack Volume 14 (RP-T),Sony PlayStation 2,Sony Computer Entertainment,Sony Computer Entertainment America,,,0.11,2006
11906,11905,Carnage Heart,Sony PlayStation,Sony Computer Entertainment,ArtDink,7.1,,0.11,1997
11935,11934,Project: Horned Owl,Sony PlayStation,Sony Computer Entertainment,Alfa System,6.0,,0.11,1996
12274,12273,Start the Party! Save the World,Sony PlayStation 3,Sony Computer Entertainment,Supermassive Games Ltd.,,,0.1,2011
12277,12276,Crime Crackers,Sony PlayStation,Sony Computer Entertainment,Media.Vision,,,0.1,1994
12331,12330,Ultra Street Fighter IV,Sony Playstation 4,Sony Computer Entertainment,Capcom,7.1,6.2,0.1,2015
12338,12337,EyeToy: Operation Spy,Sony PlayStation 2,Sony Computer Entertainment,SCEE London Studio,6.0,,0.1,2005
12381,12380,Shadow Master,Sony PlayStation,Sony Computer Entertainment,Hammerhead,4.0,,0.1,1997
12398,12397,D??racin??,Sony Playstation 4,Sony Interactive Entertainment,From Software,,,0.1,2018
12447,12446,Disney's Aladdin in Nasira's Revenge,Sony PlayStation,Sony Computer Entertainment,Argonaut Games,,,0.09,2001
12449,12448,SingStar Guitar,Sony PlayStation 3,Sony Computer Entertainment,SCEE London Studio,,,0.09,2010
12538,12537,Bogey: Dead 6,Sony PlayStation,Sony Computer Entertainment,Pegasus Japan,,,0.09,1996
12583,12582,Singstar: Ultimate Party,Sony PlayStation 3,Sony Computer Entertainment Europe,London Studios,,,0.09,2014
12590,12589,Rapid Reload,Sony PlayStation,Sony Computer Entertainment,Media.Vision,,,0.09,1995
12601,12600,Running Wild,Sony PlayStation,Sony Computer Entertainment,Blue Shift,6.1,,0.09,1998
12685,12684,Porsche Challenge,Sony PlayStation,Sony Computer Entertainment,SCEE London Studio,8.0,,0.09,1997
12702,12701,Paragon,Sony Playstation 4,Sony Interactive Entertainment,Epic Games,,,0.09,2016
12715,12714,Blood: The Last Vampire (Joukan),Sony PlayStation 2,Sony Computer Entertainment,Sugar & Rockets,,,0.09,2000
12862,12861,Codename Tenka,Sony PlayStation,Sony Computer Entertainment,Psygnosis,7.0,,0.09,1997
12901,12900,Beat Sketch!,Sony PlayStation 3,Sony Computer Entertainment,"Will Co., Ltd. Noisycroak",,,0.08,2010
12971,12970,SingStar: Made In Germany,Sony PlayStation 3,Sony Computer Entertainment,SCEE London Studio,,,0.08,2009
12998,12997,Blades of Blood: Samurai Shodown III,Sony PlayStation,Sony Computer Entertainment,Ukiyotei,,,0.08,1996
